DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,VSD,LATITUDE,LONGITUDE,Distance,EMBER,FLAME
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71401847,-121.5259506,12.26639857,4,36.317047
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71414307,-121.5258369,16.39884415,4,36.317047
Destroyed (>50%),,Metal,No Eaves,Unscreened,Ignition Resistant,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,0,39.70964435,-121.5222261,41.18472792,12,3.912776
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71487091,-121.5246316,36.16733757,5,35.900238
Destroyed (>50%),,Metal,Unenclosed,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71519227,-121.5245621,36.16733757,3,35.054058
Destroyed (>50%),,Metal,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71766559,-121.5185608,256.0617974,4,
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,39.71777833,-121.5147643,14.96042011,6,6.961788
Destroyed (>50%),,Asphalt,No Eaves,"Mesh Screen <= 1/8""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,39.71782324,-121.5149288,14.96042011,6,6.961788
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71745018,-121.5145382,41.26059194,2,6.295514
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,,39.71866139,-121.5152963,60.09317938,7,9.250034
Destroyed (>50%),,Metal,No Eaves,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.71215618,-121.5200196,114.4028106,6,7.162954
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,0,39.71757362,-121.5228578,37.21532691,7,9.198891
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen > 1/8""",Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,0,39.71742075,-121.5224714,37.21532691,6,36.351475
Destroyed (>50%),,Metal,Enclosed,"Mesh Screen > 1/8""",Combustible,Single Pane,Wood,Wood,Unknown,No Fence,,0,39.71763272,-121.5215598,81.61889572,6,4.380476
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,2,39.71883871,-121.5214473,101.1820887,9,36.12735
No Damage,,,,,,,,,,,,2,39.72360266,-121.5417527,115.2032968,2,3.711581
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,1,39.72070514,-121.506074,68.22186319,6,5.382734
Destroyed (>50%),,Asphalt,No Eaves,Unscreened,Ignition Resistant,Single Pane,No Deck/Porch,Wood,Non Combustible,No Fence,,0,39.72404375,-121.5108936,13.12485495,2,5.141206
Destroyed (>50%),,Metal,No Eaves,No Vents,Ignition Resistant,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,0,39.72405452,-121.5107411,13.12485495,2,5.141206
No Damage,,,,,,,,,,,,4,39.65572752,-121.7422587,60.83715538,,
No Damage,,,,,,,,,,,,4,39.65544427,-121.7416517,60.83715538,,
Destroyed (>50%),,Asphalt,Unenclosed,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.7265659,-121.5010103,39.77695386,5,27.745424
Destroyed (>50%),,Metal,Unenclosed,"Mesh Screen <= 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.72672845,-121.5005967,39.77695386,2,26.066217
No Damage,,,,,,,,,,,,2,39.75702081,-121.6466606,48.1273429,,
Destroyed (>50%),,Wood,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,39.72319855,-121.5223694,36.72732586,4,34.800209
Destroyed (>50%),,Metal,Unknown,"Mesh Screen > 1/8""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,1,39.77299479,-121.6044148,37.29883545,,1.718721
No Damage,,,,,,,,,,,,,39.82179662,-121.6681578,165.7271742,,
No Damage,,,,,,,,,,,,,39.82566222,-121.6667265,41.7692538,,
No Damage,,,,,,,,,,,,,39.82563194,-121.667213,41.7692538,,
No Damage,,,,,,,,,,,,,39.82658833,-121.6662528,4.722366981,,
No Damage,,,,,,,,,,,,,39.82663035,-121.6662614,4.722366981,,
Destroyed (>50%),,Metal,No Eaves,"Mesh Screen > 1/8""",Combustible,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,0,39.73809838,-121.523845,18.67574855,3,5.050912
