DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,DECKPORCHO,DECKPORCHE,PATIOCOVER,FENCEATTAC,YEARBUILT,FLAME,EMBER,LATITUDE,LONGITUDE,Distance,VSD
Affected (1-9%),95492,Tile,Unenclosed,"Mesh Screen > 1/8""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,1989,1.573747993,,38.5600814,-122.7908705,94.15637401,0
No Damage,95411,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,38.65517526,-122.8077573,93.74587731,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2014,,,38.5641443,-122.800702,93.63335303,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1989,,,38.58615075,-122.8262046,93.4593647,0
Destroyed (>50%),95492,Asphalt,Unknown,"Mesh Screen <= 1/8""",Stucco/Brick/Cement,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,1973,,,38.55217075,-122.772928,93.09509911,0
Destroyed (>50%),95492,Asphalt,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1976,1.367518902,,38.55255188,-122.7725619,92.503244,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1978,,,38.54135815,-122.7731683,92.40491513,0
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1969,0.552118242,2,38.6263466,-122.7699486,92.40491513,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1890,,,38.55514539,-122.7739722,90.51158098,0
No Damage,95448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1890,,,38.55556517,-122.7742244,90.09449963,0
No Damage,95492,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920,,,38.60395376,-122.7767792,90.09449963,0
