DAMAGE,ZIPCODE,ROOFCONSTRUCTION,EAVES,VENTSCREEN,EXTERIORSIDING,WINDOWPANE,DECKPORCHONGRADE,DECKPORCHELEVATED,PATIOCOVER,FENCE,YEARBUILT,LATITUDE,LONGITUDE,EMBER,FLAME,Distance,VSD
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,38.44087265,-122.5424795,,0.997958004,13.68635214,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,1940,38.441906,-122.5385744,,1.851371646,50.65190451,3
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Multi Pane,Wood,Wood,Combustible,No Fence,1912,38.44192827,-122.538803,,1.851371646,50.65190451,3
Destroyed (>50%),,Asphalt,Unknown,Unscreened,Wood,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,1954,38.43678604,-122.561897,,,91.17782444,3
No Damage,,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1949,38.44114197,-122.5425252,,0.992377162,0,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Unknown,Wood,No Patio Cover/Carport,Combustible,1959,38.44256353,-122.5369545,,2.41450572,89.54670694,3
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1949,38.44120372,-122.5425155,,0.992377162,0,3
Destroyed (>50%),,Tile,Unknown,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,1954,38.4367803,-122.5628973,,3.593408346,139.4790071,3
No Damage,,Asphalt,No Eaves,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1956,38.44129129,-122.5425144,,0.992377162,8.026246981,3
No Damage,,Tile,Enclosed,"Mesh Screen > 1/8""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,1982,38.44286765,-122.5365263,,,62.33628808,3
No Damage,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,38.44281598,-122.5367868,,,62.33628808,3
No Damage,,Asphalt,Enclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Wood,No Deck/Porch,Combustible,Combustible,,38.44156706,-122.5425855,,0.919603944,71.89327673,3
No Damage,,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,1995,38.44281097,-122.5377471,,1.727972507,269.6257756,3
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1954,38.43714981,-122.5629161,,0.511155605,139.4790071,3
No Damage,,Asphalt,Enclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,2003,38.44245635,-122.5397116,,0.299145997,199.2364554,3
Destroyed (>50%),,Metal,Unknown,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.44179025,-122.5427013,,0.919603944,71.89327673,3
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,1960,38.4375283,-122.5632687,,0.474003106,21.0606962,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,1916,38.4425681,-122.5406193,,1.160365224,238.6539619,3
Minor (10-25%),,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2003,38.44290571,-122.5393699,,1.707763195,89.74916567,3
Destroyed (>50%),,Unknown,Unknown,Unknown,Wood,Unknown,Wood,Wood,Unknown,No Fence,1960,38.43739823,-122.5641577,,2.735886335,249.465671,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Stucco Brick Cement,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,2003,38.44306559,-122.5390625,,2.062213898,89.74916567,3
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen > 1/8""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1960,38.43764383,-122.5632414,,1.375429153,21.0606962,3
No Damage,,Asphalt,No Eaves,"Mesh Screen <= 1/8""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1960,38.43774713,-122.5634847,,0.666925251,58.11026089,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,1930,38.44266324,-122.5413962,,1.242210746,0,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,1930,38.44271747,-122.5413547,,1.149867177,0,3
No Damage,,Metal,No Eaves,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.44109729,-122.5548553,,1.100392938,2659.426164,3
Destroyed (>50%),,Asphalt,Unknown,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,Unknown,No Patio Cover/Carport,No Fence,1987,38.5270063,-122.463687,,2.522334337,61.77174626,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1987,38.527176,-122.4638884,,2.522334337,22.08580513,3
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen > 1/8""",Wood,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,1950,38.53667095,-122.4673447,,,36.23130038,3
Destroyed (>50%),,Asphalt,Unknown,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Wood,Non Combustible,No Fence,1991,38.52756386,-122.4640935,,,154.1252938,3
Destroyed (>50%),,Metal,No Eaves,Unknown,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1945,38.53846318,-122.4680547,3,2.695029497,9.689632859,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.53871202,-122.4681523,,2.366047144,71.65485792,3
Destroyed (>50%),,Other,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,1965,38.5552743,-122.4743763,2.41840589,1.485062122,7.044882405,3
No Damage,,Tile,Unenclosed,No Vents,Wood,No Windows,Unknown,No Deck/Porch,Combustible,Combustible,,38.55712566,-122.4750156,1,2.149188042,23.85264602,3
Affected (1-9%),,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55663248,-122.474888,5,2.020172596,92.9883788,3
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.53848829,-122.4681711,3,2.695029497,9.689632859,3
Destroyed (>50%),,Wood,No Eaves,"Mesh Screen <= 1/8""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,1987,38.52709272,-122.4640364,,1.594381213,22.08580513,3
No Damage,,Tile,No Eaves,No Vents,Wood,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,1980,38.55261065,-122.4734936,,,224.6711891,3
No Damage,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,1961,38.54226588,-122.4696248,,1.127055526,43.18223564,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,,38.5570077,-122.4751287,,1.676452398,23.85264602,3
Destroyed (>50%),,Metal,Unknown,Unknown,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.55190339,-122.473346,1,,23.53248107,3
Destroyed (>50%),,Asphalt,Unknown,Unknown,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.53908603,-122.4685213,,1.774996996,174.664532,3
Destroyed (>50%),,Asphalt,Unenclosed,"Mesh Screen <= 1/8""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,38.53834324,-122.4682571,3,2.695029497,34.91896439,3
No Damage,,Metal,No Eaves,No Vents,Metal,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1972,38.44492286,-122.6019935,,,46.2818779,3
Affected (1-9%),,Asphalt,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,2008,38.44135463,-122.5796209,,,110.7562512,3
No Damage,,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,1961,38.54237618,-122.4698212,1,1.127055526,43.18223564,3
No Damage,,Metal,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,38.5840759,-122.5328178,1,,479.0355319,3
