DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,28.62605831,0.060659044,,34.2908191,-119.2109914
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Multi Pane,1,1965,23.63530324,0.320453288,,34.2923045,-119.2109074
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,19.13257087,0,,34.2917541,-119.2065697
No Damage,93003,,,,,,1,,36.83135117,0.201365289,,34.29106685,-119.2222964
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,1,1961,16.41215165,0.147526177,8.852885246,34.2921795,-119.2051184
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,1,1960,34.46681439,0.106544189,,34.2919135,-119.2060733
No Damage,,,,,,,1,,12.35913297,0,,34.2927928,-119.2164019
No Damage,,,,,,,1,,7.212290432,0.158184679,,34.3293327,-119.2902351
No Damage,93009,,,,,,1,,23.283364,0.07641588,8.417036057,34.2919492,-119.2037852
No Damage,93009,,,,,,1,,16.58374385,0,7.17536211,34.2920457,-119.2033642
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1965,31.8117226,0.239090441,8.76685524,34.2919993,-119.2116851
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1964,31.8117226,0.04132487,8.830483437,34.2920689,-119.2119262
No Damage,93108,,,,,,1,,166.4000162,0,,34.448337,-119.617828
Destroyed (>50%),,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane,1,1965,33.03450235,0,,34.448628,-119.618573
Destroyed (>50%),,Fire Resistant,Unenclosed,Screened,Fire Resistant,Single Pane,1,1977,16.58374385,0.302680528,4.815491676,34.292255,-119.2033713
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,36.65011527,0,9.036497116,34.2922816,-119.2056504
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1980,45.93359252,0.124038764,,34.2923967,-119.2052036
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1965,23.6150763,0.302683919,,34.2921213,-119.2114314
No Damage,93009,,,,,,1,,15.78967844,0.295352105,8.804642677,34.2923832,-119.2038888
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1971,23.6150763,0.06669515,,34.2923458,-119.211314
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,30.197166,0,8.918458939,34.2925329,-119.2057192
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1961,32.73102232,0.302677951,,34.2926638,-119.2052889
No Damage,93009,,,,,,1,,26.55225519,0,8.853599548,34.2923841,-119.2067654
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Single Pane,1,1961,37.38924218,0,,34.2924342,-119.2062812
No Damage,93003,,,,,,1,,16.82680156,0.065066732,9.503108025,34.2974907,-119.2122702
No Damage,,,,,,,1,,89.96623384,0.34210022,,34.2937776,-119.216748
No Damage,,,,,,,1,,11.80401228,0,,34.29413805,-119.2157744
No Damage,,,,,,,1,,11.80401228,0,,34.29413805,-119.2157744
No Damage,93060,,,,,,1,,6.018547611,0.110865207,10.30212688,34.39188693,-119.148062
No Damage,93060,,,,,,1,,6.018547611,0.081771647,10.12955284,34.39188693,-119.148062
